Profession,Income,Credit_card_number,Expiry,Security_code,Fraud,Transaction_amount
LAWYER,25463,2249906852340244,02/32,773,1,29596.84
ENGINEER,57036,375253164610273,03/27,14,1,64945.16
LAWYER,42515,3563367205300201,10/31,153,1,35243.69
DOCTOR,56498,213126173192663,10/31,825,1,58192.49
ENGINEER,11497,6011011040320302,10/29,534,1,12745.7
DOCTOR,32427,6011097023993884,11/26,129,1,31700.65
ENGINEER,1317,3570549712269976,11/33,399,1,1270.67
ENGINEER,82829,38923628734500,07/31,140,1,67996.49
LAWYER,75507,180041945729156,09/31,355,1,56369.86
ENGINEER,12890,4202902079835679,10/26,488,0,5915.04
DOCTOR,81227,30431588803214,06/34,630,1,93428.03
LAWYER,24666,4220789051745,07/34,335,0,8713.03
LAWYER,79391,5535688979374829,02/25,917,0,18705.47
ENGINEER,85988,30041951660263,12/26,921,0,20609.93
LAWYER,99114,4560010714144,02/29,948,1,105355.99
ENGINEER,26615,180052192972316,10/25,3551,1,30568.79
ENGINEER,57654,3514038248129630,09/29,522,1,65929.84
LAWYER,39317,4793425876295,04/31,219,1,42853.08
LAWYER,73581,5387658329176082,03/33,912,0,26254.63
ENGINEER,80280,6011158832216311,10/32,802,0,10729.9
DOCTOR,99885,3547291399276384,04/26,35,0,16446.21
ENGINEER,17880,676170498270,04/34,305,1,20549.07
DOCTOR,94660,4575121965572748601,11/29,3477,0,32427.83
LAWYER,29859,213135180772243,04/27,263,0,3095.75
DOCTOR,71884,4434050227851840,09/34,854,0,10106.07
DOCTOR,4073,376284992522934,09/30,773,0,1488.28
ENGINEER,69030,346892863165794,04/30,498,0,7042.76
ENGINEER,69043,3507850975167222,03/30,389,0,11345.37
DOCTOR,41667,6011922002647328,05/26,8,0,13312.34
ENGINEER,53144,4893356222952820,11/28,221,1,55585.84
DOCTOR,70651,6011377675502260,08/28,634,0,25489.79
ENGINEER,30427,4346839132932169510,06/29,214,0,5772.24
ENGINEER,13168,4275226738536,12/32,159,1,13906.59
LAWYER,26186,3593811004157746,01/27,971,0,5103.64
ENGINEER,84336,2703448668049668,05/33,492,0,19410.76
LAWYER,82799,4660717910716562336,01/29,545,1,88863.67
ENGINEER,28670,4575763340441401,04/31,57,1,29381.49
LAWYER,33155,4726848499313309,04/29,8930,0,14577.9
DOCTOR,10306,375826908868909,07/33,818,1,10602.88
LAWYER,1472,30382573134968,09/26,430,0,481.82
DOCTOR,54591,3517200418802340,12/29,908,1,40770.6
ENGINEER,45682,3591179761877043,06/27,907,0,11287.4
DOCTOR,59224,3599571303012513,07/25,424,0,12204.94
LAWYER,50793,4039379328232660,03/33,894,0,10036.49
ENGINEER,88193,180064162026379,09/34,520,1,104641.46
ENGINEER,35837,3542871354951116,01/32,42,0,9218.68
ENGINEER,8830,4017706117686,01/33,585,1,10119.39
DOCTOR,24130,3574362370777546,04/31,312,1,24505.69
LAWYER,13829,213175334335653,10/30,128,1,15176.02
ENGINEER,414,4777213017733,05/33,761,0,124.64
LAWYER,42875,630405419098,10/32,391,0,14181.4
DOCTOR,35370,180001692468473,06/28,2108,0,10505.14
ENGINEER,85465,6591717438546914,05/34,179,1,68168.72
ENGINEER,31742,348300201716953,10/25,232,1,33685.44
DOCTOR,38551,3522946937237060,10/26,170,1,32397.73
LAWYER,95796,4905958828462272,04/33,500,0,10511.35
ENGINEER,73154,5335462944872602,01/34,499,1,74817.24
DOCTOR,57640,576783453540,11/30,328,0,9847.46
ENGINEER,68569,4162390752678038603,12/33,461,1,80241.45
DOCTOR,28063,577650840314,05/31,968,0,13514.34
LAWYER,66246,4057360400274666538,08/34,279,0,30867.04
DOCTOR,71781,6542736223707028,08/26,865,0,17806.24
ENGINEER,21966,180025826895483,08/33,340,0,2332.41
DOCTOR,22065,4755588232585276,11/24,778,1,25687.17
DOCTOR,8873,6011041999486804,05/32,661,1,8110.74
DOCTOR,79335,30181331770851,10/26,230,1,93879.28
ENGINEER,10647,4572976586127228,12/25,640,0,5168.56
LAWYER,85154,213158337457930,11/31,617,1,95926.38
ENGINEER,52829,4703208598107,08/32,108,0,11505.08
ENGINEER,28898,639097859156,02/34,985,0,7341.22
DOCTOR,37928,4721611251378436932,07/26,556,1,42690.56
DOCTOR,78699,213115780217617,01/31,583,0,17846.48
DOCTOR,70660,5183715229652905,12/30,944,1,55450.18
DOCTOR,76408,4677299148685,03/31,452,0,24658.43
ENGINEER,15341,3523276354302489,07/32,418,1,17919.48
LAWYER,79500,6500796809109585,12/32,43,0,30083.75
ENGINEER,20048,4586930829050,05/28,742,1,19747.89
DOCTOR,83226,4408945858877,05/27,818,1,62302.01
ENGINEER,29659,4801665886436479,02/30,207,1,29881.55
ENGINEER,40974,3552389780215359,10/31,746,0,20323.99
LAWYER,44407,561163667216,07/27,978,0,6928.98
LAWYER,25236,6011822175296053,07/28,280,1,24205.48
ENGINEER,52719,3513554965028905,01/32,654,0,23773.59
LAWYER,93886,213197457779756,02/26,378,1,100494.1
LAWYER,73613,213142642804176,12/25,359,0,27885.07
LAWYER,26016,180042649646480,11/32,507,0,9911.93
ENGINEER,71846,4924246468504455,01/34,575,0,17515.8
LAWYER,26531,630466916685,09/34,745,0,5768.81
LAWYER,30900,4132249067930814,10/29,285,1,34134.63
ENGINEER,74873,4231345917818206712,01/27,291,0,31749.55
DOCTOR,84031,3570000242401416,12/29,460,1,95252.18
LAWYER,45524,4494402767712485,10/25,739,0,21182.15
DOCTOR,15273,6577787381717364,05/25,121,1,14595.97
ENGINEER,12194,3591722000716298,05/26,293,0,3665.6
LAWYER,71910,3569128243903784,01/25,724,1,79039.7
ENGINEER,98117,6011787845072426,11/31,825,1,100568.16
DOCTOR,48508,375773670994630,09/29,925,0,18471.2
LAWYER,11817,4824081484854021950,10/25,9027,0,4943.25
DOCTOR,3122,4836962143759,07/25,466,0,1423.64
ENGINEER,44691,3584947014224851,09/25,995,1,38836.37
ENGINEER,64809,180018503187951,09/27,936,1,57536.88
DOCTOR,22792,501823978710,06/25,449,0,3136.01
ENGINEER,36685,676310543589,10/25,641,1,36286.6
LAWYER,77019,4215188445722644,02/27,713,0,8809.2
ENGINEER,79236,377170650149848,03/28,577,0,22680.45
ENGINEER,93753,4970931739399958,08/26,775,0,29725.12
DOCTOR,14717,2705837494317851,09/34,108,1,12410.41
LAWYER,30339,4714820579451956,02/31,879,0,10204.02
ENGINEER,69251,4566629136486168,02/27,921,1,49531.79
LAWYER,95783,3502567017864336,10/30,3229,1,68836.76
DOCTOR,59739,3559004815497590,07/31,930,1,66387.97
LAWYER,6791,6011013054771172,01/31,400,1,5976.73
LAWYER,2280,4988159855107597,02/25,741,0,343.88
ENGINEER,43371,3565661274152511,12/29,263,0,13397.18
ENGINEER,83604,6555068312474326,03/27,474,1,90710.07
LAWYER,14705,4212323627196142,10/34,588,1,11880.32
ENGINEER,96895,375015532884330,10/26,367,1,98003.99
LAWYER,23533,630407902034,01/28,130,0,3156.69
LAWYER,31111,676148116715,06/26,448,0,3754.25
ENGINEER,85024,5584811926459184,08/30,845,1,82105.75
ENGINEER,13794,4561955878917647035,12/29,568,0,4362.41
ENGINEER,40836,3540762294597493,06/31,196,0,14495.63
DOCTOR,92824,4422979998136436866,01/27,836,0,36241.88
DOCTOR,15949,180092149822511,10/34,7877,0,7820.45
LAWYER,52779,4650907688335,03/25,589,1,50570.21
ENGINEER,33145,4093982727281528,06/31,869,0,7596.26
ENGINEER,6322,213192006826638,10/33,810,1,6938.98
DOCTOR,8614,4913110173747,03/27,710,0,1794.58
LAWYER,61827,4588652150792901,05/29,287,1,56849.04
DOCTOR,1054,2225680784361770,11/32,475,1,779.15
ENGINEER,90387,5455797263170243,12/24,515,0,9955.25
DOCTOR,63342,676339454917,08/25,88,1,74827.44
ENGINEER,82475,502032028487,06/28,246,1,92206.23
LAWYER,1263,4871788524909379,02/28,4674,1,1323.61
LAWYER,64989,6554964035716947,12/27,17,0,17129.88
DOCTOR,54485,4838861474988,12/28,17,1,42860.47
DOCTOR,68484,4635385681455614,02/28,637,0,11133.77
DOCTOR,45137,4901911691682090,08/33,639,1,37243.51
DOCTOR,7710,4177756796312953,07/26,357,1,7514.27
LAWYER,1362,4597156232487299,12/24,72,1,1440.04
LAWYER,16184,6548107548813947,03/30,347,0,5892.25
LAWYER,62174,4740387597425220,09/30,862,1,52224.11
DOCTOR,40610,3542894986563745,06/32,281,0,19571.83
LAWYER,28396,4389175833707105,04/27,858,0,11220.93
LAWYER,65509,4257522962011719,05/25,776,1,64013.89
DOCTOR,30788,676345358102,05/34,790,0,10612.26
LAWYER,85327,36200504895842,06/32,817,1,77630.51
DOCTOR,84475,3583776057086369,06/29,770,1,69596.04
ENGINEER,87250,4033415616264,03/27,7266,1,76604.31
ENGINEER,16936,370499150890131,08/28,221,0,6827.55
ENGINEER,12358,4747328334754111,01/26,337,1,8739.54
ENGINEER,46127,213142569630802,08/34,71,1,34965.94
ENGINEER,99433,4725061400638662,11/29,866,1,71890.19
LAWYER,73992,3522764871450262,09/27,955,0,8604.64
LAWYER,61014,3501007614098153,10/25,470,1,68807.34
LAWYER,52223,3586848179070139,12/33,786,0,19921.15
LAWYER,96899,6011157883768832,02/32,716,1,90802.78
LAWYER,84241,3561381758091770,11/30,446,1,63089.52
LAWYER,49908,3516150626574986,01/32,420,0,14805.03
LAWYER,15926,6011975499909957,01/31,236,1,14918.46
ENGINEER,79797,3581946770272198,08/32,234,1,62768.39
ENGINEER,45475,4556907559199979572,08/29,787,0,12439.26
DOCTOR,49585,370286676663948,09/25,809,1,44589.43
LAWYER,65642,180059822721526,02/31,692,1,66162.22
DOCTOR,55636,4790704081493027297,03/25,9069,1,56612.24
DOCTOR,87900,376347963316014,08/25,476,1,63521.11
ENGINEER,54093,4571129435745547539,12/33,146,0,13514.87
ENGINEER,60658,3542958920063847,12/33,697,0,21251.16
DOCTOR,8088,6011290650364723,01/34,600,1,7696.28
ENGINEER,39934,30039614895359,12/33,117,1,45055.33
ENGINEER,61448,3528439712788063,10/25,400,0,22334.96
DOCTOR,18771,4940751387844957,08/29,734,0,3100.48
ENGINEER,21693,6011271978511559,12/29,162,1,15950.52
LAWYER,99152,4911059155063,03/28,640,0,35394.06
DOCTOR,23973,4156907597704188,03/32,300,1,17098.88
ENGINEER,21925,6011558599534907,02/28,425,0,7329.75
DOCTOR,7288,3565998167661665,05/30,510,1,8527.8
ENGINEER,80539,4743442942901719,08/31,464,1,79551.36
LAWYER,65502,5554499970734128,12/24,736,0,16720.56
DOCTOR,50643,213198281497433,07/32,817,1,51739.12
DOCTOR,86015,5424715115862948,04/29,632,1,79918.81
LAWYER,75748,373869163357012,03/26,158,1,73688.29
LAWYER,46502,3585099815440564,08/33,846,1,54441.4
DOCTOR,56086,3590229941240934,03/34,939,0,14270.58
DOCTOR,73843,2281742296691804,12/25,476,1,87178.7
ENGINEER,20261,3514683681769838,02/26,570,0,9363.42
ENGINEER,1857,213151449215734,07/29,632,1,1481.69
LAWYER,565,213120993889954,05/27,750,0,72.18
DOCTOR,66386,4395394624478152052,05/32,452,1,49815.32
DOCTOR,27077,5485010372775637,11/29,191,1,19200.6
LAWYER,34158,2272177526039360,07/33,873,0,4706.19
LAWYER,28447,180031906888703,01/30,779,1,29627.65
LAWYER,85216,3575287556401836,02/28,232,0,10948.16
LAWYER,89825,2232524962440561,08/33,877,1,77203.49
DOCTOR,55428,36731911433058,03/25,300,1,62214.47
LAWYER,29684,180090022219086,11/34,24,1,21124.2
LAWYER,46538,4519593192666113,04/28,517,1,51528.47
ENGINEER,81260,4955614584903,08/27,541,0,17287.41
LAWYER,7025,3526349867138273,05/29,312,1,5332.55
DOCTOR,79041,38356570289407,09/26,727,0,29932.42
DOCTOR,29959,4786847923539,07/28,920,0,10532.9
ENGINEER,96639,3552356276546654,01/33,886,1,110046.31
ENGINEER,78145,2296133069672770,07/28,947,0,30791.35
DOCTOR,30794,4046437759437942,02/31,198,0,12976.36
LAWYER,65765,4289629523609833634,05/26,250,0,13995.7
LAWYER,92815,30214921927258,12/26,936,0,15869.12
ENGINEER,7322,4744720087301939,03/34,305,0,2930.6
LAWYER,18455,630497169569,11/29,200,0,7801.55
DOCTOR,52338,4018168151445,06/29,847,0,25970.22
ENGINEER,13339,213122555272330,09/32,668,0,3535.46
LAWYER,87887,3522252192205722,12/27,975,0,21866.92
DOCTOR,61167,4181977467664662,01/25,852,0,25113.04
LAWYER,22960,36784707268899,04/30,976,1,19984.42
LAWYER,86008,3557074503759942,10/30,595,0,40621.83
ENGINEER,36720,4222856514190494,04/30,109,0,16280.37
LAWYER,465,3557978459441190,02/34,868,0,126.29
DOCTOR,18762,577707662521,03/34,846,1,20177.32
LAWYER,88401,30395369061930,06/30,269,1,95231.87
ENGINEER,30592,3552850139640225,08/30,178,0,4321.11
ENGINEER,93416,371839974726814,08/29,506,1,107547.64
DOCTOR,84122,4903914728134356,02/31,101,0,25413.34
LAWYER,51514,6011096664097161,06/32,161,0,22181.05
DOCTOR,98108,4526247595499819,01/33,892,1,84375.31
ENGINEER,10664,36668814216216,02/34,399,0,4886.34
LAWYER,34226,588834556486,04/29,349,0,8750.93
ENGINEER,6394,4906623086946932,01/34,809,1,4510.45
ENGINEER,53987,4032733313956060438,03/27,965,0,24950.24
ENGINEER,22580,6536293549467661,01/30,145,1,16836.63
LAWYER,39764,2305578374919911,03/32,915,0,9055.27
ENGINEER,64420,4769915466117738,11/30,3853,0,30923.2
DOCTOR,47336,6011322400823193,03/26,682,0,22732.78
ENGINEER,64661,5524372686709790,01/26,799,0,21297.73
DOCTOR,46009,4358599363189946,12/29,281,0,16228.98
ENGINEER,27640,30480729287902,03/34,887,0,7722.01
DOCTOR,25467,4918386796097,06/28,984,0,5533.58
DOCTOR,48256,4167324277944604,01/26,385,1,41709.22
ENGINEER,43554,3536269463674240,03/34,8991,0,16071.75
LAWYER,2039,3557895050879828,10/29,650,0,817.54
LAWYER,80125,6583933806194100,11/26,4242,0,33382.61
DOCTOR,28492,6551118233050814,03/25,859,1,31193.3
DOCTOR,51200,3553635464439965,09/26,314,0,6987.9
LAWYER,83737,4557412732355099735,02/29,377,1,79316.54
DOCTOR,58609,4572018651399588,05/34,865,0,7210.28
DOCTOR,83152,4548430322097593,04/29,333,1,81053.61
DOCTOR,33926,30407776586019,10/28,941,0,9384.35
DOCTOR,1693,180063251490132,05/29,497,0,770.45
LAWYER,89165,6576456730364796,07/27,529,0,21432.23
ENGINEER,52757,3532918996024877,02/33,300,1,40017.95
LAWYER,43525,3575850338694232,03/34,4205,1,33579.36
ENGINEER,71620,676330622850,03/27,303,0,28977.76
DOCTOR,74381,569477734051,03/26,919,1,75058.54
DOCTOR,13577,30285049475180,12/24,8661,1,10190.37
ENGINEER,69555,4457725267940155,06/29,625,0,9295.52
LAWYER,78690,213102063724899,09/31,702,1,82662.63
LAWYER,93293,4334635624117802,10/25,360,1,68699.24
LAWYER,67931,4881625183925,07/32,558,0,29125.01
DOCTOR,90573,3543748357061888,10/27,155,1,95384.34
LAWYER,36472,4546406916476,11/25,361,0,4833.98
ENGINEER,72411,6530593229439310,05/31,226,1,53759.29
LAWYER,32552,2713741912570044,03/26,405,1,38844.95
DOCTOR,99449,572617969967,07/29,424,1,88224.73
DOCTOR,71398,30132648399843,11/29,373,1,63210.15
DOCTOR,7728,5540093460062483,08/27,52,0,3285.33
LAWYER,10297,4951714428691662332,08/29,268,1,12084.81
ENGINEER,80834,4966310801392,04/28,679,1,96435.0
DOCTOR,12837,3515025723654637,06/32,777,0,5152.15
DOCTOR,10706,4579233526664602,06/32,411,0,2681.89
ENGINEER,62720,4703088363079793206,01/30,198,0,8366.87
ENGINEER,73073,2271061728969007,04/32,777,1,79545.33
ENGINEER,30137,213144557401600,06/30,46,1,29510.21
DOCTOR,19948,630406230502,05/29,6545,1,18194.79
ENGINEER,92292,3590875953146466,11/33,904,1,106429.03
DOCTOR,36674,4531760967844,02/31,164,0,5298.62
DOCTOR,13791,6011374670192940,07/31,99,0,4096.62
ENGINEER,2997,60416515330,12/32,599,0,313.31
LAWYER,89580,345316924371101,09/27,2198,0,25751.05
ENGINEER,10757,4896048405215212525,03/26,877,0,1317.96
ENGINEER,49889,30512188148744,01/28,47,1,37886.15
DOCTOR,75910,4410660151344487201,02/28,908,0,11159.57
DOCTOR,87670,502016028131,11/28,40,1,89827.13
LAWYER,97999,4778961502207,06/29,886,0,39044.56
DOCTOR,36962,4019120573418446,03/25,94,0,12321.19
LAWYER,39147,3506692246952888,08/34,385,1,46235.98
ENGINEER,79229,503884239776,12/28,831,0,19803.15
DOCTOR,32082,676283430236,04/29,352,1,27040.51
ENGINEER,95944,180050843601268,01/29,636,1,108829.24
LAWYER,6552,38130349707159,11/27,489,0,1241.2
LAWYER,11904,6011535228435631,03/33,285,1,14065.9
ENGINEER,50990,30595894322257,04/31,38,0,5346.9
DOCTOR,18385,2254195320730192,02/28,336,1,21785.11
DOCTOR,82401,4066027547644308385,03/28,8,1,59458.91
LAWYER,76422,4793417277539903,04/29,741,1,87546.87
LAWYER,7811,4531862265409527,08/30,804,0,2429.85
